loc,length,bug type,approach
336,13,TOD,code snippet injection
322,13,TOD,code snippet injection
460,13,TOD,code snippet injection
440,13,TOD,code snippet injection
300,18,TOD,code snippet injection
278,13,TOD,code snippet injection
249,18,TOD,code snippet injection
222,13,TOD,code snippet injection
192,18,TOD,code snippet injection
115,18,TOD,code snippet injection
96,18,TOD,code snippet injection
82,13,TOD,code snippet injection
68,13,TOD,code snippet injection
49,18,TOD,code snippet injection
414,18,TOD,code snippet injection
395,18,TOD,code snippet injection
376,18,TOD,code snippet injection
357,18,TOD,code snippet injection
170,13,TOD,code snippet injection
156,13,TOD,code snippet injection
142,13,TOD,code snippet injection
