loc,length,bug type,approach
8,4,tx.origin,code snippet injection
14,3,tx.origin,code snippet injection
27,4,tx.origin,code snippet injection
49,4,tx.origin,code snippet injection
58,4,tx.origin,code snippet injection
63,4,tx.origin,code snippet injection
68,3,tx.origin,code snippet injection
73,4,tx.origin,code snippet injection
80,4,tx.origin,code snippet injection
85,4,tx.origin,code snippet injection
92,4,tx.origin,code snippet injection
99,4,tx.origin,code snippet injection
106,4,tx.origin,code snippet injection
127,4,tx.origin,code snippet injection
152,4,tx.origin,code snippet injection
169,3,tx.origin,code snippet injection
188,3,tx.origin,code snippet injection
206,4,tx.origin,code snippet injection
229,3,tx.origin,code snippet injection
250,4,tx.origin,code snippet injection
262,4,tx.origin,code snippet injection
267,4,tx.origin,code snippet injection
273,4,tx.origin,code snippet injection
280,4,tx.origin,code snippet injection
292,4,tx.origin,code snippet injection
308,4,tx.origin,code snippet injection
322,4,tx.origin,code snippet injection
334,3,tx.origin,code snippet injection
345,4,tx.origin,code snippet injection
355,3,tx.origin,code snippet injection
367,4,tx.origin,code snippet injection
