loc,length,bug type,approach
654,9,Re-erntrancy,code snippet injection
641,7,Re-erntrancy,code snippet injection
617,8,Re-erntrancy,code snippet injection
599,10,Re-erntrancy,code snippet injection
582,10,Re-erntrancy,code snippet injection
528,8,Re-erntrancy,code snippet injection
512,5,Re-erntrancy,code snippet injection
483,8,Re-erntrancy,code snippet injection
458,6,Re-erntrancy,code snippet injection
433,8,Re-erntrancy,code snippet injection
402,8,Re-erntrancy,code snippet injection
375,8,Re-erntrancy,code snippet injection
350,8,Re-erntrancy,code snippet injection
324,8,Re-erntrancy,code snippet injection
305,7,Re-erntrancy,code snippet injection
290,8,Re-erntrancy,code snippet injection
269,8,Re-erntrancy,code snippet injection
252,10,Re-erntrancy,code snippet injection
561,9,Re-erntrancy,code snippet injection
552,8,Re-erntrancy,code snippet injection
542,9,Re-erntrancy,code snippet injection
236,8,Re-erntrancy,code snippet injection
226,8,Re-erntrancy,code snippet injection
216,8,Re-erntrancy,code snippet injection
