loc,length,bug type,approach
347,10,Overflow-Underflow,code snippet injection
150,4,Overflow-Underflow,code snippet injection
143,4,Overflow-Underflow,code snippet injection
130,10,Overflow-Underflow,code snippet injection
20,4,Overflow-Underflow,code snippet injection
450,4,Overflow-Underflow,code snippet injection
437,4,Overflow-Underflow,code snippet injection
427,4,Overflow-Underflow,code snippet injection
415,4,Overflow-Underflow,code snippet injection
399,8,Overflow-Underflow,code snippet injection
381,8,Overflow-Underflow,code snippet injection
365,4,Overflow-Underflow,code snippet injection
305,4,Overflow-Underflow,code snippet injection
283,4,Overflow-Underflow,code snippet injection
256,8,Overflow-Underflow,code snippet injection
237,4,Overflow-Underflow,code snippet injection
217,4,Overflow-Underflow,code snippet injection
196,8,Overflow-Underflow,code snippet injection
171,4,Overflow-Underflow,code snippet injection
62,10,Overflow-Underflow,code snippet injection
34,10,Overflow-Underflow,code snippet injection
340,4,Overflow-Underflow,code snippet injection
328,10,Overflow-Underflow,code snippet injection
317,10,Overflow-Underflow,code snippet injection
119,8,Overflow-Underflow,code snippet injection
108,10,Overflow-Underflow,code snippet injection
101,4,Overflow-Underflow,code snippet injection
95,4,Overflow-Underflow,code snippet injection
86,8,Overflow-Underflow,code snippet injection
77,8,Overflow-Underflow,code snippet injection
8,10,Overflow-Underflow,code snippet injection
