loc,length,bug type,approach
66,10,Overflow-Underflow,code snippet injection
39,4,Overflow-Underflow,code snippet injection
116,4,Overflow-Underflow,code snippet injection
92,10,Overflow-Underflow,code snippet injection
61,4,Overflow-Underflow,code snippet injection
49,4,Overflow-Underflow,code snippet injection
78,4,Overflow-Underflow,code snippet injection
32,4,Overflow-Underflow,code snippet injection
27,4,Overflow-Underflow,code snippet injection
18,8,Overflow-Underflow,code snippet injection
8,8,Overflow-Underflow,code snippet injection
