loc,length,bug type,approach
12,1,Timestamp-Dependency,code snippet injection
10,1,Timestamp-Dependency,code snippet injection
8,1,Timestamp-Dependency,code snippet injection
233,1,Timestamp-Dependency,code snippet injection
227,1,Timestamp-Dependency,code snippet injection
217,3,Timestamp-Dependency,code snippet injection
206,5,Timestamp-Dependency,code snippet injection
191,5,Timestamp-Dependency,code snippet injection
184,3,Timestamp-Dependency,code snippet injection
168,9,Timestamp-Dependency,code snippet injection
155,5,Timestamp-Dependency,code snippet injection
122,9,Timestamp-Dependency,code snippet injection
96,5,Timestamp-Dependency,code snippet injection
65,9,Timestamp-Dependency,code snippet injection
58,4,Timestamp-Dependency,code snippet injection
53,4,Timestamp-Dependency,code snippet injection
46,5,Timestamp-Dependency,code snippet injection
40,5,Timestamp-Dependency,code snippet injection
30,9,Timestamp-Dependency,code snippet injection
25,4,Timestamp-Dependency,code snippet injection
15,9,Timestamp-Dependency,code snippet injection
