loc,length,bug type,approach
839,1,Timestamp-Dependency,code snippet injection
835,1,Timestamp-Dependency,code snippet injection
764,1,Timestamp-Dependency,code snippet injection
762,1,Timestamp-Dependency,code snippet injection
682,1,Timestamp-Dependency,code snippet injection
678,3,Timestamp-Dependency,code snippet injection
925,5,Timestamp-Dependency,code snippet injection
915,5,Timestamp-Dependency,code snippet injection
900,3,Timestamp-Dependency,code snippet injection
885,9,Timestamp-Dependency,code snippet injection
862,5,Timestamp-Dependency,code snippet injection
848,9,Timestamp-Dependency,code snippet injection
826,5,Timestamp-Dependency,code snippet injection
812,9,Timestamp-Dependency,code snippet injection
803,4,Timestamp-Dependency,code snippet injection
795,4,Timestamp-Dependency,code snippet injection
786,5,Timestamp-Dependency,code snippet injection
772,5,Timestamp-Dependency,code snippet injection
748,9,Timestamp-Dependency,code snippet injection
739,4,Timestamp-Dependency,code snippet injection
725,9,Timestamp-Dependency,code snippet injection
712,9,Timestamp-Dependency,code snippet injection
704,4,Timestamp-Dependency,code snippet injection
690,5,Timestamp-Dependency,code snippet injection
646,3,Timestamp-Dependency,code snippet injection
623,3,Timestamp-Dependency,code snippet injection
601,5,Timestamp-Dependency,code snippet injection
588,3,Timestamp-Dependency,code snippet injection
568,3,Timestamp-Dependency,code snippet injection
542,4,Timestamp-Dependency,code snippet injection
517,3,Timestamp-Dependency,code snippet injection
490,5,Timestamp-Dependency,code snippet injection
464,9,Timestamp-Dependency,code snippet injection
453,4,Timestamp-Dependency,code snippet injection
444,4,Timestamp-Dependency,code snippet injection
435,3,Timestamp-Dependency,code snippet injection
417,4,Timestamp-Dependency,code snippet injection
403,9,Timestamp-Dependency,code snippet injection
385,5,Timestamp-Dependency,code snippet injection
369,3,Timestamp-Dependency,code snippet injection
350,9,Timestamp-Dependency,code snippet injection
336,9,Timestamp-Dependency,code snippet injection
317,4,Timestamp-Dependency,code snippet injection
309,3,Timestamp-Dependency,code snippet injection
300,4,Timestamp-Dependency,code snippet injection
