loc,length,bug type,approach
110,3,Unhandled-Exceptions,code snippet injection
103,6,Unhandled-Exceptions,code snippet injection
97,5,Unhandled-Exceptions,code snippet injection
94,2,Unhandled-Exceptions,code snippet injection
87,6,Unhandled-Exceptions,code snippet injection
77,9,Unhandled-Exceptions,code snippet injection
67,9,Unhandled-Exceptions,code snippet injection
310,3,Unhandled-Exceptions,code snippet injection
300,3,Unhandled-Exceptions,code snippet injection
293,2,Unhandled-Exceptions,code snippet injection
279,9,Unhandled-Exceptions,code snippet injection
266,8,Unhandled-Exceptions,code snippet injection
252,3,Unhandled-Exceptions,code snippet injection
215,3,Unhandled-Exceptions,code snippet injection
170,5,Unhandled-Exceptions,code snippet injection
145,9,Unhandled-Exceptions,code snippet injection
127,5,Unhandled-Exceptions,code snippet injection
119,3,Unhandled-Exceptions,code snippet injection
55,9,Unhandled-Exceptions,code snippet injection
36,9,Unhandled-Exceptions,code snippet injection
13,3,Unhandled-Exceptions,code snippet injection
