loc,length,bug type,approach
860,3,Unhandled-Exceptions,code snippet injection
851,6,Unhandled-Exceptions,code snippet injection
780,5,Unhandled-Exceptions,code snippet injection
777,2,Unhandled-Exceptions,code snippet injection
697,6,Unhandled-Exceptions,code snippet injection
687,9,Unhandled-Exceptions,code snippet injection
942,9,Unhandled-Exceptions,code snippet injection
934,3,Unhandled-Exceptions,code snippet injection
919,3,Unhandled-Exceptions,code snippet injection
911,2,Unhandled-Exceptions,code snippet injection
884,9,Unhandled-Exceptions,code snippet injection
871,8,Unhandled-Exceptions,code snippet injection
844,3,Unhandled-Exceptions,code snippet injection
836,3,Unhandled-Exceptions,code snippet injection
826,5,Unhandled-Exceptions,code snippet injection
813,9,Unhandled-Exceptions,code snippet injection
804,5,Unhandled-Exceptions,code snippet injection
792,3,Unhandled-Exceptions,code snippet injection
763,9,Unhandled-Exceptions,code snippet injection
749,9,Unhandled-Exceptions,code snippet injection
741,3,Unhandled-Exceptions,code snippet injection
732,5,Unhandled-Exceptions,code snippet injection
725,3,Unhandled-Exceptions,code snippet injection
710,6,Unhandled-Exceptions,code snippet injection
656,2,Unhandled-Exceptions,code snippet injection
633,3,Unhandled-Exceptions,code snippet injection
613,3,Unhandled-Exceptions,code snippet injection
600,3,Unhandled-Exceptions,code snippet injection
578,5,Unhandled-Exceptions,code snippet injection
553,3,Unhandled-Exceptions,code snippet injection
523,8,Unhandled-Exceptions,code snippet injection
498,3,Unhandled-Exceptions,code snippet injection
478,3,Unhandled-Exceptions,code snippet injection
468,3,Unhandled-Exceptions,code snippet injection
460,3,Unhandled-Exceptions,code snippet injection
449,5,Unhandled-Exceptions,code snippet injection
432,3,Unhandled-Exceptions,code snippet injection
422,5,Unhandled-Exceptions,code snippet injection
403,6,Unhandled-Exceptions,code snippet injection
385,5,Unhandled-Exceptions,code snippet injection
366,9,Unhandled-Exceptions,code snippet injection
359,2,Unhandled-Exceptions,code snippet injection
341,3,Unhandled-Exceptions,code snippet injection
333,3,Unhandled-Exceptions,code snippet injection
319,9,Unhandled-Exceptions,code snippet injection
306,8,Unhandled-Exceptions,code snippet injection
298,3,Unhandled-Exceptions,code snippet injection
285,8,Unhandled-Exceptions,code snippet injection
