loc,length,bug type,approach
318,8,Re-erntrancy,code snippet injection
160,7,Re-erntrancy,code snippet injection
119,8,Re-erntrancy,code snippet injection
104,9,Re-erntrancy,code snippet injection
718,9,Re-erntrancy,code snippet injection
702,8,Re-erntrancy,code snippet injection
689,5,Re-erntrancy,code snippet injection
668,8,Re-erntrancy,code snippet injection
654,5,Re-erntrancy,code snippet injection
624,8,Re-erntrancy,code snippet injection
601,8,Re-erntrancy,code snippet injection
570,8,Re-erntrancy,code snippet injection
554,8,Re-erntrancy,code snippet injection
538,8,Re-erntrancy,code snippet injection
524,7,Re-erntrancy,code snippet injection
510,8,Re-erntrancy,code snippet injection
494,8,Re-erntrancy,code snippet injection
481,9,Re-erntrancy,code snippet injection
467,9,Re-erntrancy,code snippet injection
454,8,Re-erntrancy,code snippet injection
414,8,Re-erntrancy,code snippet injection
386,7,Re-erntrancy,code snippet injection
353,8,Re-erntrancy,code snippet injection
204,7,Re-erntrancy,code snippet injection
189,8,Re-erntrancy,code snippet injection
172,8,Re-erntrancy,code snippet injection
140,8,Re-erntrancy,code snippet injection
104,5,Re-erntrancy,code snippet injection
95,8,Re-erntrancy,code snippet injection
85,9,Re-erntrancy,code snippet injection
79,5,Re-erntrancy,code snippet injection
71,7,Re-erntrancy,code snippet injection
62,8,Re-erntrancy,code snippet injection
308,8,Re-erntrancy,code snippet injection
299,8,Re-erntrancy,code snippet injection
292,5,Re-erntrancy,code snippet injection
282,9,Re-erntrancy,code snippet injection
274,7,Re-erntrancy,code snippet injection
265,8,Re-erntrancy,code snippet injection
256,8,Re-erntrancy,code snippet injection
250,5,Re-erntrancy,code snippet injection
241,8,Re-erntrancy,code snippet injection
