loc,length,bug type,approach
83,8,Re-erntrancy,code snippet injection
74,7,Re-erntrancy,code snippet injection
361,8,Re-erntrancy,code snippet injection
347,9,Re-erntrancy,code snippet injection
320,9,Re-erntrancy,code snippet injection
293,8,Re-erntrancy,code snippet injection
278,5,Re-erntrancy,code snippet injection
265,8,Re-erntrancy,code snippet injection
255,5,Re-erntrancy,code snippet injection
238,8,Re-erntrancy,code snippet injection
224,8,Re-erntrancy,code snippet injection
210,8,Re-erntrancy,code snippet injection
197,8,Re-erntrancy,code snippet injection
184,8,Re-erntrancy,code snippet injection
172,7,Re-erntrancy,code snippet injection
157,8,Re-erntrancy,code snippet injection
144,8,Re-erntrancy,code snippet injection
128,9,Re-erntrancy,code snippet injection
107,9,Re-erntrancy,code snippet injection
64,8,Re-erntrancy,code snippet injection
54,8,Re-erntrancy,code snippet injection
39,7,Re-erntrancy,code snippet injection
29,8,Re-erntrancy,code snippet injection
20,7,Re-erntrancy,code snippet injection
10,8,Re-erntrancy,code snippet injection
