loc,length,bug type,approach
879,10,Overflow-Underflow,code snippet injection
872,4,Overflow-Underflow,code snippet injection
798,4,Overflow-Underflow,code snippet injection
787,10,Overflow-Underflow,code snippet injection
696,4,Overflow-Underflow,code snippet injection
691,4,Overflow-Underflow,code snippet injection
971,4,Overflow-Underflow,code snippet injection
962,4,Overflow-Underflow,code snippet injection
946,4,Overflow-Underflow,code snippet injection
932,8,Overflow-Underflow,code snippet injection
906,8,Overflow-Underflow,code snippet injection
897,4,Overflow-Underflow,code snippet injection
864,4,Overflow-Underflow,code snippet injection
855,4,Overflow-Underflow,code snippet injection
842,8,Overflow-Underflow,code snippet injection
834,4,Overflow-Underflow,code snippet injection
826,4,Overflow-Underflow,code snippet injection
809,8,Overflow-Underflow,code snippet injection
778,4,Overflow-Underflow,code snippet injection
763,10,Overflow-Underflow,code snippet injection
748,10,Overflow-Underflow,code snippet injection
740,4,Overflow-Underflow,code snippet injection
726,10,Overflow-Underflow,code snippet injection
707,10,Overflow-Underflow,code snippet injection
654,8,Overflow-Underflow,code snippet injection
624,10,Overflow-Underflow,code snippet injection
603,4,Overflow-Underflow,code snippet injection
589,4,Overflow-Underflow,code snippet injection
564,8,Overflow-Underflow,code snippet injection
534,8,Overflow-Underflow,code snippet injection
502,10,Overflow-Underflow,code snippet injection
472,8,Overflow-Underflow,code snippet injection
451,4,Overflow-Underflow,code snippet injection
440,4,Overflow-Underflow,code snippet injection
425,10,Overflow-Underflow,code snippet injection
415,4,Overflow-Underflow,code snippet injection
397,4,Overflow-Underflow,code snippet injection
384,8,Overflow-Underflow,code snippet injection
361,10,Overflow-Underflow,code snippet injection
340,8,Overflow-Underflow,code snippet injection
