loc,length,bug type,approach
355,1,Timestamp-Dependency,code snippet injection
251,1,Timestamp-Dependency,code snippet injection
37,1,Timestamp-Dependency,code snippet injection
10,1,Timestamp-Dependency,code snippet injection
306,1,Timestamp-Dependency,code snippet injection
422,3,Timestamp-Dependency,code snippet injection
409,5,Timestamp-Dependency,code snippet injection
396,5,Timestamp-Dependency,code snippet injection
383,3,Timestamp-Dependency,code snippet injection
336,9,Timestamp-Dependency,code snippet injection
327,5,Timestamp-Dependency,code snippet injection
314,9,Timestamp-Dependency,code snippet injection
275,5,Timestamp-Dependency,code snippet injection
260,9,Timestamp-Dependency,code snippet injection
207,4,Timestamp-Dependency,code snippet injection
180,4,Timestamp-Dependency,code snippet injection
138,5,Timestamp-Dependency,code snippet injection
129,5,Timestamp-Dependency,code snippet injection
116,9,Timestamp-Dependency,code snippet injection
108,4,Timestamp-Dependency,code snippet injection
93,9,Timestamp-Dependency,code snippet injection
78,9,Timestamp-Dependency,code snippet injection
68,4,Timestamp-Dependency,code snippet injection
56,5,Timestamp-Dependency,code snippet injection
47,3,Timestamp-Dependency,code snippet injection
18,3,Timestamp-Dependency,code snippet injection
287,5,Timestamp-Dependency,code snippet injection
246,3,Timestamp-Dependency,code snippet injection
32,3,Timestamp-Dependency,code snippet injection
27,4,Timestamp-Dependency,code snippet injection
