loc,length,bug type,approach
104,1,Timestamp-Dependency,code snippet injection
77,1,Timestamp-Dependency,code snippet injection
75,1,Timestamp-Dependency,code snippet injection
120,1,Timestamp-Dependency,code snippet injection
341,1,Timestamp-Dependency,code snippet injection
330,3,Timestamp-Dependency,code snippet injection
317,5,Timestamp-Dependency,code snippet injection
299,5,Timestamp-Dependency,code snippet injection
287,3,Timestamp-Dependency,code snippet injection
260,9,Timestamp-Dependency,code snippet injection
240,5,Timestamp-Dependency,code snippet injection
218,9,Timestamp-Dependency,code snippet injection
205,5,Timestamp-Dependency,code snippet injection
188,9,Timestamp-Dependency,code snippet injection
135,4,Timestamp-Dependency,code snippet injection
125,4,Timestamp-Dependency,code snippet injection
110,5,Timestamp-Dependency,code snippet injection
84,5,Timestamp-Dependency,code snippet injection
65,9,Timestamp-Dependency,code snippet injection
60,4,Timestamp-Dependency,code snippet injection
50,9,Timestamp-Dependency,code snippet injection
40,9,Timestamp-Dependency,code snippet injection
35,4,Timestamp-Dependency,code snippet injection
29,5,Timestamp-Dependency,code snippet injection
170,3,Timestamp-Dependency,code snippet injection
166,3,Timestamp-Dependency,code snippet injection
158,5,Timestamp-Dependency,code snippet injection
154,3,Timestamp-Dependency,code snippet injection
150,3,Timestamp-Dependency,code snippet injection
145,4,Timestamp-Dependency,code snippet injection
99,3,Timestamp-Dependency,code snippet injection
93,5,Timestamp-Dependency,code snippet injection
