loc,length,bug type,approach
98,9,Re+AC0-erntrancy,code snippet injection
108,8,Re+AC0-erntrancy,code snippet injection
117,6,Re+AC0-erntrancy,code snippet injection
124,8,Re+AC0-erntrancy,code snippet injection
133,8,Re+AC0-erntrancy,code snippet injection
142,8,Re+AC0-erntrancy,code snippet injection
150,8,Re+AC0-erntrancy,code snippet injection
159,7,Re+AC0-erntrancy,code snippet injection
172,8,Re+AC0-erntrancy,code snippet injection
184,8,Re+AC0-erntrancy,code snippet injection
193,8,Re+AC0-erntrancy,code snippet injection
202,9,Re+AC0-erntrancy,code snippet injection
211,9,Re+AC0-erntrancy,code snippet injection
228,9,Re+AC0-erntrancy,code snippet injection
264,8,Re+AC0-erntrancy,code snippet injection
299,9,Re+AC0-erntrancy,code snippet injection
312,10,Re+AC0-erntrancy,code snippet injection
329,5,Re+AC0-erntrancy,code snippet injection
341,8,Re+AC0-erntrancy,code snippet injection
358,8,Re+AC0-erntrancy,code snippet injection
367,8,Re+AC0-erntrancy,code snippet injection
376,8,Re+AC0-erntrancy,code snippet injection
389,7,Re+AC0-erntrancy,code snippet injection
398,6,Re+AC0-erntrancy,code snippet injection
411,8,Re+AC0-erntrancy,code snippet injection
425,7,Re+AC0-erntrancy,code snippet injection
437,8,Re+AC0-erntrancy,code snippet injection
449,8,Re+AC0-erntrancy,code snippet injection
461,8,Re+AC0-erntrancy,code snippet injection
474,8,Re+AC0-erntrancy,code snippet injection
486,8,Re+AC0-erntrancy,code snippet injection
498,6,Re+AC0-erntrancy,code snippet injection
507,8,Re+AC0-erntrancy,code snippet injection
520,5,Re+AC0-erntrancy,code snippet injection
538,8,Re+AC0-erntrancy,code snippet injection
550,10,Re+AC0-erntrancy,code snippet injection
567,10,Re+AC0-erntrancy,code snippet injection
