loc,length,bug type,approach
937,9,Re-erntrancy,code snippet injection
927,7,Re-erntrancy,code snippet injection
832,8,Re-erntrancy,code snippet injection
821,10,Re-erntrancy,code snippet injection
722,10,Re-erntrancy,code snippet injection
713,8,Re-erntrancy,code snippet injection
1038,5,Re-erntrancy,code snippet injection
1025,8,Re-erntrancy,code snippet injection
1007,6,Re-erntrancy,code snippet injection
993,8,Re-erntrancy,code snippet injection
967,8,Re-erntrancy,code snippet injection
954,8,Re-erntrancy,code snippet injection
915,8,Re-erntrancy,code snippet injection
902,8,Re-erntrancy,code snippet injection
890,7,Re-erntrancy,code snippet injection
878,8,Re-erntrancy,code snippet injection
866,8,Re-erntrancy,code snippet injection
847,10,Re-erntrancy,code snippet injection
807,9,Re-erntrancy,code snippet injection
794,8,Re-erntrancy,code snippet injection
780,9,Re-erntrancy,code snippet injection
768,8,Re-erntrancy,code snippet injection
756,8,Re-erntrancy,code snippet injection
739,8,Re-erntrancy,code snippet injection
676,8,Re-erntrancy,code snippet injection
648,8,Re-erntrancy,code snippet injection
623,8,Re-erntrancy,code snippet injection
607,6,Re-erntrancy,code snippet injection
582,8,Re-erntrancy,code snippet injection
551,9,Re-erntrancy,code snippet injection
523,6,Re-erntrancy,code snippet injection
494,7,Re-erntrancy,code snippet injection
469,8,Re-erntrancy,code snippet injection
454,8,Re-erntrancy,code snippet injection
441,8,Re-erntrancy,code snippet injection
430,5,Re-erntrancy,code snippet injection
407,9,Re-erntrancy,code snippet injection
395,7,Re-erntrancy,code snippet injection
374,8,Re-erntrancy,code snippet injection
353,8,Re-erntrancy,code snippet injection
338,5,Re-erntrancy,code snippet injection
325,8,Re-erntrancy,code snippet injection
