loc,length,bug type,approach
427,9,Re-erntrancy,code snippet injection
314,7,Re-erntrancy,code snippet injection
58,8,Re-erntrancy,code snippet injection
10,10,Re-erntrancy,code snippet injection
510,10,Re-erntrancy,code snippet injection
494,8,Re-erntrancy,code snippet injection
481,5,Re-erntrancy,code snippet injection
463,8,Re-erntrancy,code snippet injection
411,6,Re-erntrancy,code snippet injection
399,8,Re-erntrancy,code snippet injection
387,8,Re-erntrancy,code snippet injection
343,8,Re-erntrancy,code snippet injection
329,8,Re-erntrancy,code snippet injection
261,8,Re-erntrancy,code snippet injection
231,7,Re-erntrancy,code snippet injection
186,8,Re-erntrancy,code snippet injection
174,8,Re-erntrancy,code snippet injection
160,10,Re-erntrancy,code snippet injection
147,9,Re-erntrancy,code snippet injection
133,8,Re-erntrancy,code snippet injection
118,9,Re-erntrancy,code snippet injection
104,8,Re-erntrancy,code snippet injection
89,8,Re-erntrancy,code snippet injection
75,8,Re-erntrancy,code snippet injection
27,8,Re-erntrancy,code snippet injection
358,8,Re-erntrancy,code snippet injection
304,8,Re-erntrancy,code snippet injection
50,6,Re-erntrancy,code snippet injection
41,8,Re-erntrancy,code snippet injection
