loc,length,bug type,approach
174,2,Unchecked-Send,code snippet injection
171,2,Unchecked-Send,code snippet injection
168,2,Unchecked-Send,code snippet injection
28,2,Unchecked-Send,code snippet injection
25,2,Unchecked-Send,code snippet injection
22,2,Unchecked-Send,code snippet injection
19,2,Unchecked-Send,code snippet injection
229,2,Unchecked-Send,code snippet injection
217,2,Unchecked-Send,code snippet injection
201,2,Unchecked-Send,code snippet injection
189,2,Unchecked-Send,code snippet injection
182,2,Unchecked-Send,code snippet injection
155,2,Unchecked-Send,code snippet injection
147,2,Unchecked-Send,code snippet injection
139,2,Unchecked-Send,code snippet injection
130,2,Unchecked-Send,code snippet injection
121,2,Unchecked-Send,code snippet injection
114,2,Unchecked-Send,code snippet injection
107,2,Unchecked-Send,code snippet injection
100,2,Unchecked-Send,code snippet injection
93,2,Unchecked-Send,code snippet injection
86,2,Unchecked-Send,code snippet injection
79,2,Unchecked-Send,code snippet injection
54,2,Unchecked-Send,code snippet injection
47,2,Unchecked-Send,code snippet injection
40,2,Unchecked-Send,code snippet injection
164,2,Unchecked-Send,code snippet injection
161,2,Unchecked-Send,code snippet injection
15,2,Unchecked-Send,code snippet injection
12,2,Unchecked-Send,code snippet injection
9,2,Unchecked-Send,code snippet injection
