loc,length,bug type,approach
267,4,tx.origin,code snippet injection
248,4,tx.origin,code snippet injection
237,4,tx.origin,code snippet injection
226,4,tx.origin,code snippet injection
216,3,tx.origin,code snippet injection
196,4,tx.origin,code snippet injection
185,3,tx.origin,code snippet injection
173,4,tx.origin,code snippet injection
161,3,tx.origin,code snippet injection
150,4,tx.origin,code snippet injection
142,4,tx.origin,code snippet injection
134,4,tx.origin,code snippet injection
125,4,tx.origin,code snippet injection
116,3,tx.origin,code snippet injection
107,4,tx.origin,code snippet injection
100,3,tx.origin,code snippet injection
255,3,tx.origin,code snippet injection
205,4,tx.origin,code snippet injection
90,4,tx.origin,code snippet injection
85,4,tx.origin,code snippet injection
77,4,tx.origin,code snippet injection
72,4,tx.origin,code snippet injection
