loc,length,bug type,approach
98,8,Overflow+AC0-Underflow,code snippet injection
107,8,Overflow+AC0-Underflow,code snippet injection
116,4,Overflow+AC0-Underflow,code snippet injection
121,4,Overflow+AC0-Underflow,code snippet injection
126,10,Overflow+AC0-Underflow,code snippet injection
137,8,Overflow+AC0-Underflow,code snippet injection
150,4,Overflow+AC0-Underflow,code snippet injection
160,10,Overflow+AC0-Underflow,code snippet injection
174,10,Overflow+AC0-Underflow,code snippet injection
185,4,Overflow+AC0-Underflow,code snippet injection
190,10,Overflow+AC0-Underflow,code snippet injection
190,10,Overflow+AC0-Underflow,code snippet injection
200,10,Overflow+AC0-Underflow,code snippet injection
218,4,Overflow+AC0-Underflow,code snippet injection
249,10,Overflow+AC0-Underflow,code snippet injection
286,4,Overflow+AC0-Underflow,code snippet injection
294,8,Overflow+AC0-Underflow,code snippet injection
309,4,Overflow+AC0-Underflow,code snippet injection
320,4,Overflow+AC0-Underflow,code snippet injection
333,10,Overflow+AC0-Underflow,code snippet injection
344,4,Overflow+AC0-Underflow,code snippet injection
349,4,Overflow+AC0-Underflow,code snippet injection
358,8,Overflow+AC0-Underflow,code snippet injection
368,10,Overflow+AC0-Underflow,code snippet injection
385,4,Overflow+AC0-Underflow,code snippet injection
395,8,Overflow+AC0-Underflow,code snippet injection
408,4,Overflow+AC0-Underflow,code snippet injection
416,4,Overflow+AC0-Underflow,code snippet injection
424,4,Overflow+AC0-Underflow,code snippet injection
433,8,Overflow+AC0-Underflow,code snippet injection
445,8,Overflow+AC0-Underflow,code snippet injection
457,4,Overflow+AC0-Underflow,code snippet injection
464,4,Overflow+AC0-Underflow,code snippet injection
473,4,Overflow+AC0-Underflow,code snippet injection
490,4,Overflow+AC0-Underflow,code snippet injection
498,4,Overflow+AC0-Underflow,code snippet injection
509,10,Overflow+AC0-Underflow,code snippet injection
