loc,length,bug type,approach
206,3,Unhandled-Exceptions,code snippet injection
199,6,Unhandled-Exceptions,code snippet injection
259,5,Unhandled-Exceptions,code snippet injection
250,2,Unhandled-Exceptions,code snippet injection
189,6,Unhandled-Exceptions,code snippet injection
171,9,Unhandled-Exceptions,code snippet injection
151,9,Unhandled-Exceptions,code snippet injection
134,3,Unhandled-Exceptions,code snippet injection
119,3,Unhandled-Exceptions,code snippet injection
76,2,Unhandled-Exceptions,code snippet injection
66,9,Unhandled-Exceptions,code snippet injection
57,8,Unhandled-Exceptions,code snippet injection
53,3,Unhandled-Exceptions,code snippet injection
49,3,Unhandled-Exceptions,code snippet injection
237,5,Unhandled-Exceptions,code snippet injection
227,9,Unhandled-Exceptions,code snippet injection
221,5,Unhandled-Exceptions,code snippet injection
217,3,Unhandled-Exceptions,code snippet injection
101,9,Unhandled-Exceptions,code snippet injection
91,9,Unhandled-Exceptions,code snippet injection
87,3,Unhandled-Exceptions,code snippet injection
