loc,length,bug type,approach
21,3,Unhandled-Exceptions,code snippet injection
14,6,Unhandled-Exceptions,code snippet injection
8,5,Unhandled-Exceptions,code snippet injection
240,2,Unhandled-Exceptions,code snippet injection
229,6,Unhandled-Exceptions,code snippet injection
213,9,Unhandled-Exceptions,code snippet injection
198,9,Unhandled-Exceptions,code snippet injection
185,3,Unhandled-Exceptions,code snippet injection
175,3,Unhandled-Exceptions,code snippet injection
165,2,Unhandled-Exceptions,code snippet injection
132,9,Unhandled-Exceptions,code snippet injection
103,8,Unhandled-Exceptions,code snippet injection
78,3,Unhandled-Exceptions,code snippet injection
72,3,Unhandled-Exceptions,code snippet injection
66,5,Unhandled-Exceptions,code snippet injection
56,9,Unhandled-Exceptions,code snippet injection
50,5,Unhandled-Exceptions,code snippet injection
46,3,Unhandled-Exceptions,code snippet injection
36,9,Unhandled-Exceptions,code snippet injection
26,9,Unhandled-Exceptions,code snippet injection
