loc,length,bug type,approach
74,3,Unhandled-Exceptions,code snippet injection
65,6,Unhandled-Exceptions,code snippet injection
57,5,Unhandled-Exceptions,code snippet injection
252,2,Unhandled-Exceptions,code snippet injection
228,6,Unhandled-Exceptions,code snippet injection
204,9,Unhandled-Exceptions,code snippet injection
176,9,Unhandled-Exceptions,code snippet injection
158,3,Unhandled-Exceptions,code snippet injection
139,3,Unhandled-Exceptions,code snippet injection
124,2,Unhandled-Exceptions,code snippet injection
94,9,Unhandled-Exceptions,code snippet injection
46,8,Unhandled-Exceptions,code snippet injection
42,3,Unhandled-Exceptions,code snippet injection
36,3,Unhandled-Exceptions,code snippet injection
29,5,Unhandled-Exceptions,code snippet injection
19,9,Unhandled-Exceptions,code snippet injection
13,5,Unhandled-Exceptions,code snippet injection
