loc,length,bug type,approach
171,10,Overflow-Underflow,code snippet injection
166,4,Overflow-Underflow,code snippet injection
29,4,Overflow-Underflow,code snippet injection
279,10,Overflow-Underflow,code snippet injection
269,4,Overflow-Underflow,code snippet injection
261,4,Overflow-Underflow,code snippet injection
252,4,Overflow-Underflow,code snippet injection
244,4,Overflow-Underflow,code snippet injection
236,4,Overflow-Underflow,code snippet injection
217,8,Overflow-Underflow,code snippet injection
200,8,Overflow-Underflow,code snippet injection
106,4,Overflow-Underflow,code snippet injection
101,4,Overflow-Underflow,code snippet injection
96,4,Overflow-Underflow,code snippet injection
51,8,Overflow-Underflow,code snippet injection
38,4,Overflow-Underflow,code snippet injection
188,4,Overflow-Underflow,code snippet injection
157,8,Overflow-Underflow,code snippet injection
152,4,Overflow-Underflow,code snippet injection
140,10,Overflow-Underflow,code snippet injection
129,10,Overflow-Underflow,code snippet injection
124,4,Overflow-Underflow,code snippet injection
113,10,Overflow-Underflow,code snippet injection
17,10,Overflow-Underflow,code snippet injection
8,8,Overflow-Underflow,code snippet injection
