loc,length,bug type,approach
96,9,Re-erntrancy,code snippet injection
86,7,Re-erntrancy,code snippet injection
75,8,Re-erntrancy,code snippet injection
292,10,Re-erntrancy,code snippet injection
264,10,Re-erntrancy,code snippet injection
241,8,Re-erntrancy,code snippet injection
217,5,Re-erntrancy,code snippet injection
194,8,Re-erntrancy,code snippet injection
172,6,Re-erntrancy,code snippet injection
151,8,Re-erntrancy,code snippet injection
122,8,Re-erntrancy,code snippet injection
64,8,Re-erntrancy,code snippet injection
55,8,Re-erntrancy,code snippet injection
44,8,Re-erntrancy,code snippet injection
35,7,Re-erntrancy,code snippet injection
26,8,Re-erntrancy,code snippet injection
17,8,Re-erntrancy,code snippet injection
