loc,length,bug type,approach
250,1,Timestamp-Dependency,code snippet injection
102,1,Timestamp-Dependency,code snippet injection
229,1,Timestamp-Dependency,code snippet injection
141,1,Timestamp-Dependency,code snippet injection
291,1,Timestamp-Dependency,code snippet injection
282,3,Timestamp-Dependency,code snippet injection
257,5,Timestamp-Dependency,code snippet injection
210,5,Timestamp-Dependency,code snippet injection
180,3,Timestamp-Dependency,code snippet injection
162,9,Timestamp-Dependency,code snippet injection
149,5,Timestamp-Dependency,code snippet injection
124,9,Timestamp-Dependency,code snippet injection
112,5,Timestamp-Dependency,code snippet injection
239,9,Timestamp-Dependency,code snippet injection
234,4,Timestamp-Dependency,code snippet injection
199,4,Timestamp-Dependency,code snippet injection
95,5,Timestamp-Dependency,code snippet injection
