loc,length,bug type,approach
59,4,tx.origin,code snippet injection
52,4,tx.origin,code snippet injection
45,4,tx.origin,code snippet injection
222,4,tx.origin,code snippet injection
201,3,tx.origin,code snippet injection
182,4,tx.origin,code snippet injection
160,3,tx.origin,code snippet injection
141,4,tx.origin,code snippet injection
122,3,tx.origin,code snippet injection
105,4,tx.origin,code snippet injection
80,4,tx.origin,code snippet injection
38,4,tx.origin,code snippet injection
33,4,tx.origin,code snippet injection
27,3,tx.origin,code snippet injection
21,4,tx.origin,code snippet injection
17,3,tx.origin,code snippet injection
13,3,tx.origin,code snippet injection
