loc,length,bug type,approach
86,9,Re-erntrancy,code snippet injection
77,7,Re-erntrancy,code snippet injection
369,8,Re-erntrancy,code snippet injection
354,10,Re-erntrancy,code snippet injection
326,10,Re-erntrancy,code snippet injection
299,8,Re-erntrancy,code snippet injection
284,5,Re-erntrancy,code snippet injection
271,8,Re-erntrancy,code snippet injection
260,6,Re-erntrancy,code snippet injection
243,8,Re-erntrancy,code snippet injection
229,8,Re-erntrancy,code snippet injection
215,8,Re-erntrancy,code snippet injection
202,8,Re-erntrancy,code snippet injection
189,8,Re-erntrancy,code snippet injection
177,7,Re-erntrancy,code snippet injection
162,8,Re-erntrancy,code snippet injection
149,8,Re-erntrancy,code snippet injection
132,10,Re-erntrancy,code snippet injection
111,9,Re-erntrancy,code snippet injection
67,8,Re-erntrancy,code snippet injection
56,9,Re-erntrancy,code snippet injection
40,8,Re-erntrancy,code snippet injection
30,8,Re-erntrancy,code snippet injection
20,8,Re-erntrancy,code snippet injection
10,8,Re-erntrancy,code snippet injection
