loc,length,bug type,approach
136,3,Unhandled-Exceptions,code snippet injection
95,6,Unhandled-Exceptions,code snippet injection
89,5,Unhandled-Exceptions,code snippet injection
392,2,Unhandled-Exceptions,code snippet injection
378,6,Unhandled-Exceptions,code snippet injection
356,9,Unhandled-Exceptions,code snippet injection
338,9,Unhandled-Exceptions,code snippet injection
317,3,Unhandled-Exceptions,code snippet injection
299,3,Unhandled-Exceptions,code snippet injection
286,2,Unhandled-Exceptions,code snippet injection
270,9,Unhandled-Exceptions,code snippet injection
249,8,Unhandled-Exceptions,code snippet injection
238,3,Unhandled-Exceptions,code snippet injection
227,3,Unhandled-Exceptions,code snippet injection
173,5,Unhandled-Exceptions,code snippet injection
158,9,Unhandled-Exceptions,code snippet injection
144,5,Unhandled-Exceptions,code snippet injection
112,3,Unhandled-Exceptions,code snippet injection
79,9,Unhandled-Exceptions,code snippet injection
69,9,Unhandled-Exceptions,code snippet injection
65,3,Unhandled-Exceptions,code snippet injection
59,5,Unhandled-Exceptions,code snippet injection
55,3,Unhandled-Exceptions,code snippet injection
48,6,Unhandled-Exceptions,code snippet injection
211,2,Unhandled-Exceptions,code snippet injection
207,3,Unhandled-Exceptions,code snippet injection
202,3,Unhandled-Exceptions,code snippet injection
198,3,Unhandled-Exceptions,code snippet injection
192,5,Unhandled-Exceptions,code snippet injection
188,3,Unhandled-Exceptions,code snippet injection
126,8,Unhandled-Exceptions,code snippet injection
122,3,Unhandled-Exceptions,code snippet injection
