loc,length,bug type,approach
152,10,Overflow-Underflow,code snippet injection
146,4,Overflow-Underflow,code snippet injection
140,4,Overflow-Underflow,code snippet injection
389,10,Overflow-Underflow,code snippet injection
381,4,Overflow-Underflow,code snippet injection
369,4,Overflow-Underflow,code snippet injection
357,4,Overflow-Underflow,code snippet injection
343,4,Overflow-Underflow,code snippet injection
331,4,Overflow-Underflow,code snippet injection
233,8,Overflow-Underflow,code snippet injection
216,8,Overflow-Underflow,code snippet injection
205,4,Overflow-Underflow,code snippet injection
194,4,Overflow-Underflow,code snippet injection
185,4,Overflow-Underflow,code snippet injection
170,8,Overflow-Underflow,code snippet injection
75,4,Overflow-Underflow,code snippet injection
62,4,Overflow-Underflow,code snippet injection
303,8,Overflow-Underflow,code snippet injection
290,4,Overflow-Underflow,code snippet injection
279,10,Overflow-Underflow,code snippet injection
267,10,Overflow-Underflow,code snippet injection
262,4,Overflow-Underflow,code snippet injection
251,10,Overflow-Underflow,code snippet injection
128,10,Overflow-Underflow,code snippet injection
119,8,Overflow-Underflow,code snippet injection
107,10,Overflow-Underflow,code snippet injection
102,4,Overflow-Underflow,code snippet injection
97,4,Overflow-Underflow,code snippet injection
88,8,Overflow-Underflow,code snippet injection
49,8,Overflow-Underflow,code snippet injection
