loc,length,bug type,approach
152,1,Timestamp-Dependency,code snippet injection
128,1,Timestamp-Dependency,code snippet injection
121,1,Timestamp-Dependency,code snippet injection
439,1,Timestamp-Dependency,code snippet injection
287,1,Timestamp-Dependency,code snippet injection
465,3,Timestamp-Dependency,code snippet injection
453,5,Timestamp-Dependency,code snippet injection
444,5,Timestamp-Dependency,code snippet injection
427,3,Timestamp-Dependency,code snippet injection
413,9,Timestamp-Dependency,code snippet injection
405,5,Timestamp-Dependency,code snippet injection
392,9,Timestamp-Dependency,code snippet injection
383,5,Timestamp-Dependency,code snippet injection
369,9,Timestamp-Dependency,code snippet injection
361,4,Timestamp-Dependency,code snippet injection
353,4,Timestamp-Dependency,code snippet injection
343,5,Timestamp-Dependency,code snippet injection
332,5,Timestamp-Dependency,code snippet injection
273,9,Timestamp-Dependency,code snippet injection
246,4,Timestamp-Dependency,code snippet injection
233,9,Timestamp-Dependency,code snippet injection
197,9,Timestamp-Dependency,code snippet injection
152,4,Timestamp-Dependency,code snippet injection
146,5,Timestamp-Dependency,code snippet injection
142,3,Timestamp-Dependency,code snippet injection
135,3,Timestamp-Dependency,code snippet injection
121,5,Timestamp-Dependency,code snippet injection
117,3,Timestamp-Dependency,code snippet injection
113,3,Timestamp-Dependency,code snippet injection
108,4,Timestamp-Dependency,code snippet injection
104,3,Timestamp-Dependency,code snippet injection
98,5,Timestamp-Dependency,code snippet injection
316,9,Timestamp-Dependency,code snippet injection
310,4,Timestamp-Dependency,code snippet injection
301,4,Timestamp-Dependency,code snippet injection
297,3,Timestamp-Dependency,code snippet injection
292,4,Timestamp-Dependency,code snippet injection
257,9,Timestamp-Dependency,code snippet injection
165,5,Timestamp-Dependency,code snippet injection
